,,Number of preterm live births,Number of very preterm live births,Percent of preterm live births,Percent of very preterm live births,Crude rate of infant deaths per 1000 live births,Crude rate of neonatal deaths per 1000 live births,Crude rate of perinatal deaths per 1000 live births,Crude rate of postneonatal deaths per 1000 live births,Number of infant deaths,Number of neonatal deaths,Number of perinatal deaths,Number of postneonatal deaths,Number of Live Births,Number of low birth weight (less than 2500 grams) live births,Number of very low birth weight (less than 1500 grams) among live births,Percent of low birth weight (less than 2500 grams) live births,Percent of very low birth weight (less than 1500 grams) among  live births,Ratio of male to female births among singleton births
Marion,12-083,329,55,9.64,1.61,7,5.9,4.4,1.2,24,20,15,4,3412,276,53,8.09,1.55,1.04
Martin,12-085,124,15,10.01,1.21,4.8,4,1.6,0.8,6,5,2,1,1239,83,16,6.69,1.29,1.05
Monroe,12-087,59,9,8.78,1.34,3,0,0,3,2,0,0,2,672,35,8,5.21,1.19,1.07
Nassau,12-089,98,9,12.3,1.13,5,5,5,0,4,4,4,0,797,68,9,8.53,1.13,1.04
Okaloosa,12-091,306,33,11.98,1.29,5.1,3.1,2.7,2,13,8,7,5,2555,213,33,8.34,1.29,0.99
Okeechobee,12-093,52,5,10.3,0.99,0,0,0,0,0,0,0,0,505,35,4,6.93,0.79,0.88
Orange,12-095,1608,246,10.28,1.57,5,3.6,2.8,1.4,78,56,44,22,15647,1379,239,8.81,1.53,0.99
Osceola,12-097,436,61,9.82,1.37,3.6,2.5,2,1.1,16,11,9,5,4440,359,61,8.09,1.37,1.05
Palm Beach,12-099,1325,221,9.46,1.58,3.5,2.3,1.6,1.2,49,32,23,17,14007,1158,188,8.27,1.34,1.01
Pasco,12-101,515,71,10.41,1.43,6.5,3.8,3.2,2.6,32,19,16,13,4949,412,71,8.32,1.43,1.07
Pinellas,12-103,684,117,9.46,1.62,5.3,3.2,2.8,2.1,38,23,20,15,7229,605,92,8.37,1.27,1.03
Polk,12-105,886,160,11.14,2.01,7,4.5,4.3,2.5,56,36,34,20,7953,752,130,9.46,1.63,0.98
Putnam,12-107,106,17,12.69,2.04,12,7.2,2.4,4.8,10,6,2,4,835,92,17,11.02,2.04,0.89
St. Johns,12-109,187,35,8.77,1.64,4.7,3.3,2.3,1.4,10,7,5,3,2133,152,32,7.13,1.5,1
St. Lucie,12-111,294,46,9.76,1.53,3.3,2.7,1.7,0.7,10,8,5,2,3011,276,44,9.17,1.46,1.04
Santa Rosa,12-113,209,29,11.36,1.58,3.3,2.2,1.6,1.1,6,4,3,2,1839,150,27,8.16,1.47,1
Sarasota,12-115,243,33,9.27,1.26,5,3.4,2.3,1.5,13,9,6,4,2620,187,28,7.14,1.07,1.11
Seminole,12-117,448,73,10.15,1.65,7.2,5.7,3.6,1.6,32,25,16,7,4415,369,75,8.36,1.7,0.97
Sumter,12-119,40,6,8.95,1.34,8.9,0,0,8.9,4,0,0,4,447,42,5,9.4,1.12,0.98
Suwannee,12-121,48,9,11.11,2.08,4.6,4.6,4.6,0,2,2,2,0,432,39,7,9.03,1.62,1.15
Taylor,12-123,14,2,7.33,1.05,0,0,0,0,0,0,0,0,191,17,1,8.9,0.52,0.97
Union,12-125,17,3,12.14,2.14,21.4,7.1,7.1,14.3,3,1,1,2,140,13,3,9.29,2.14,1.16
Volusia,12-127,454,62,9.65,1.32,4,2.3,1.9,1.7,19,11,9,8,4707,377,43,8.01,0.91,0.98
Wakulla,12-129,40,5,13.03,1.63,9.8,3.3,0,6.5,3,1,0,2,307,27,4,8.79,1.3,1.2
Walton,12-131,106,9,13.12,1.11,6.2,3.7,2.5,2.5,5,3,2,2,808,65,7,8.04,0.87,0.96
Washington,12-133,33,5,13.75,2.08,0,0,0,0,0,0,0,0,240,24,6,10,2.5,1.08
